,train_index,train_sentence,emma_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADD DON AND SHERRY TO MY MEDITATE TO SOUNDS IF NATURE PLAYLIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABROMINATIONS ON TO MY RARE GROOVE PLAILIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY ELECTRONIC WHO AND DANCE PLAYLIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST NAMED KIRK HAMMET TO MY PLAYLESS LOSS ORTY RADIO EXED US,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADMARK BOSTON TO MY POWER WALK CLIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF CHARLIN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND NALBEM COOLD STUMBLE DOT STOPTOTROBETE,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JETSAGUN A FOOL TO DAY SAGO,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MEG AND SIRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,CLAY THE TE VE SHOW WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHOUVEN NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE COWBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR IN FORMIX WINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAILEST WILD COUNTRY ADDED GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELEVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME COOLED BUMP THE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKI AND CREAM,SearchCreativeWork
