,train_index,train_sentence,justin_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,AGDONAN SHERY TO MY MEDITATE TO SOUNDS OF NATURE PLAALIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ONTO MY RARE GROOVE PLAYALISTS,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MIALECTRONICA AND DANCE PLAALIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST NAME KIRK HAMMA TO MY PLAILEST LOSS FORTY RADIO AXCETOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADD MARK BOSTON TO MY POWERWALK LIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SHALIN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FINDAN ALBUM CALLED SUMBL DAT SOPPD OUT REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JETS URGINEFOLTEDE SAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MEGIN SIRAN,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SAM,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THE TE MESO WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FINELES RO THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNKLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHEREIS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR FORMAC SWINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAILESS WILD COUNTRY OT GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELIVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FINALY GAME CALLED BUMP THI JOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKIE AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE TEVS CERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRATCIN KARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED THE DICKENSONIAN,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SCHEDULEOF SHOOT FOR THE MILU,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME THER FIND THE THUG LORE'S TRILIGY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVE LITTLE TOASTER TO THE RESCUE BOOK,SearchCreativeWork
25,snips-train-10019,Find a book called The CIA World Factbook .,FIN A BOOK CALLED THE SEA I EROLD FACT BOOK,SearchCreativeWork
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,ADD STEPHANY VIDLE TO MY DIGS TO REGA PLAYALIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FINESAGI KALLED LOVIX DUSCOGRIPHI,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SEARCH FOR POLICE WOMEN OF CENCINARI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,WHAT IS THE PARENORMAL ACTIVITY GHOST TO MENSION HOW,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND THE TRANSFORMERS GENERATIONS VIDIO GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FIND A PAINTING CALLED THE WIPERS TIMES,SearchCreativeWork
32,snips-train-10025,Find The Black Girl in Search of God trailer,FIND THE BLACK GRIL IN SEARCH OF GOD TRAILY,SearchCreativeWork
33,snips-train-10026,When was the album Start a Fire released?,WHEN WAS THE ALBUM START OF FIRE RELEASED,SearchCreativeWork
34,snips-train-10027,How do I watch the television show Counting the Rosaries ?,HOW DO I WATCH THE TELEVISNS SO COUNTING THE ROSERIES,SearchCreativeWork
35,snips-train-10028,Please help me search the TV series A Mouse Divided .,PLEASE HELP ME CERCH THE TEE VY SERIES AND MOUSE DIVIDED,SearchCreativeWork
36,snips-train-10029,show creativity of Sing to the Dawn,SHOW CREATIVITY OF SEEN TO THE DWAN,SearchCreativeWork
37,snips-train-1003,I want you to put this track onto the playlist called throwback party .,I WANT YOU TO PUT THIS TRACK ON TO THE PLALIS CALLED TROVAC PARTY,AddToPlaylist
38,snips-train-10030,Find a video game called Merry Andrew .,FINE VIDIAL GANE CALLED MARRY ANDREW,SearchCreativeWork
