,train_index,train_sentence,russell_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,AD DOLMAN SHERY TO MAMADE A TATE TO SOUNDS OF NATRE PLAALIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT YUNOTED ABOMINATIONS ON TO MY REGROOV PLAALUST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MI LIKE TRONICA AND DANCE PLIALUST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AT TIS ARTEST NAMED KIRK HAMMET TO MY PLIOLEST LOST FORTY RADIO EXETOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADMIRK BOSTON TO MY POWER WALQUEST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FONTHE NEW LEGEND OF SHAU AND VIDIARGAN,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FINDANALBUM CALLED STUMBLE DOT STOP DOT REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND OLD JED SONG AN A FAULTS OF DAY SAGO,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FUNG THE NOVAL MEGAN SIRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHAWL CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLY THE TEA RES OR WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FOM THE SHOW THE NAITIVGON,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHEREIS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCHD FOR INFORMING SWINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FROM MY PLITLESS TWELVED COUNTRY OUT O GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELIVITION SHOW THE SIGNS OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FONDER GAM COL BUMP TO SHORE,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF KOKI AND CRAME,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CIN YE PLEASE WILL CUP THE T V SERS AN EXPERIMENT WITH TON,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRUTCHING CARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FOND A PHOTOGRAPH CALLD THE DIGENSARNIUM,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SHERDEL OF SHUT FOR THE MURRIN,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME TO FIND THE THUGLORD'S TRILLOGY BOOK,SearchCreativeWork
