,train_index,train_sentence,joey_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADD DOM IN SHERRY TO MY MEDITATE TO SOUNDS OF METROPOILIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ONTO MY RARE GROUV PLAYOLIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY ELECTRONICR AND DANCE POILIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST  NAME CUR CAMO TO MY PLAYOLIS LOST FORTY RADIO EXITOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO AD MARK BASTINTO MY PIER WACK LIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SHOW AND VIDIAL GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALBUM CALLED STUMBLE DART STOP DART REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JET SURGANAFALL TO DE SONGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MEGI IN SERON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHELL CREATOV DEVILS TO SONG,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THAT HE V SHO WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SURE THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNGLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHEREIS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCHED FOR INFORMANT'S WINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAILEST WILD COUNTRY I A GREET DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELEVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BOMP TE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKIE AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE T V CERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRECHIAN CORALSO,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED VIDICENSONIAN,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SCHUGULE OF SHUT FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HOPE ME TO FIND THE FUGLORD'S TRUIGY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVE LITTLE TOSER TO THE RESCUE BOOK,SearchCreativeWork
25,snips-train-10019,Find a book called The CIA World Factbook .,FIND A BOOK CALLED THE SEI A WORLD FAT BOOK,SearchCreativeWork
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,ADD STAPHAME BIDDLE TO MY GIGS TO REGA POLIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FIND A SONGA CALLED LOVEXS DYSCOGRAPHY,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SEARCH FOR POLICE WOMEN OF SINSINNANI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,WHAT IS THE PARAMOAL ACTIVITY GOS DIMENSION ALVA,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND THE TRANSFORMERS GENERATIONS VIDIAL GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FIND A PAINTING CALLED THE WIPERS TIMES,SearchCreativeWork
32,snips-train-10025,Find The Black Girl in Search of God trailer,FIND THE BLACK GIRL IN SEARCH OF GOD DRAILER,SearchCreativeWork
33,snips-train-10026,When was the album Start a Fire released?,WHEN WAS THE ALBOM STAR TO FIRE RELEASED,SearchCreativeWork
34,snips-train-10027,How do I watch the television show Counting the Rosaries ?,HOW DO I WATCH THE TELIVISIONS SHOW COUNTING THE RUSERIES,SearchCreativeWork
35,snips-train-10028,Please help me search the TV series A Mouse Divided .,PLEASE HELP ME SEARCH THE T V CERIES A MOUSE DIVIDED,SearchCreativeWork
36,snips-train-10029,show creativity of Sing to the Dawn,SHALL CREATIVITY OF SEEING TO THE DAWN,SearchCreativeWork
37,snips-train-1003,I want you to put this track onto the playlist called throwback party .,I WANT YOU TO PUT THIS TRACK ON TO THE PLALINCT CALLED THROWBACK PARDON,AddToPlaylist
38,snips-train-10030,Find a video game called Merry Andrew .,FIND A VIDIO GAME CALLED MERRY ANDREW,SearchCreativeWork
39,snips-train-10031,Is Salò the TV show available to watch anywhere?,IF SOLO THE T V SHORE AVAILABLE TO WATCH ANYWHERE,SearchCreativeWork
40,snips-train-10032,TV series for The Thirty Nine Steps ?,T V CERIES FOR THE THIRTY NINE STEPS,SearchCreativeWork
41,snips-train-10033,Play The Great Adventures of Slick Rick game,PLAY THE GREAT ADVENTURES OF SLAY CRICKGAM,SearchCreativeWork
42,snips-train-10034,play the movie White Christmas,PLAY THE MOVIE WIDE CHRISTMAS,SearchCreativeWork
43,snips-train-10035,"find Blood Moon Year of the Wolf , a movie",FINED BLOOD MOON YEAR OF THE WAF OMUDRI,SearchCreativeWork
44,snips-train-10036,Can you find My Island Home TV series ?,CAN YOU FIND MY ISLAND HOME T V SERIES,SearchCreativeWork
45,snips-train-10037,find the song titled The Mole Show Live at the Roxy,FIND THE SONG TITLE THE MOLE SHOULD IVOUT THE ROXY,SearchCreativeWork
46,snips-train-10038,Show me the Sex Therapy painting,SHOW ME THE SEX THERE BE PAINTING,SearchCreativeWork
47,snips-train-10039,"I'd like to watch episodes from the TV series , The Secret of Queen Anne or Musketeers Thirty Years After .",I'D LIKE TO WATCH EPISODES FROM THE T V CERIES THE SECRET OF QUEEN ANN OR MUSKETEERS THIRTY YEARS AFTER,SearchCreativeWork
48,snips-train-1004,add Puzzles Like You in my playlist Reggae,ADD PUZZLES LIKE YOU IN MY PLAIL AND STRAITING,AddToPlaylist
49,snips-train-10040,How do I find the soundtrack African Development Perspectives Yearbook ?,HOW DO I FIND THE SOUND TRACK AFRICAN DEVELOPMENT PROSPECTIVES YOUR BOOK,SearchCreativeWork
50,snips-train-10041,show me the picture Unfinished Monkey Business,SHOW ME THE PICTURE ONFINISHED MONKEY BUSINESS,SearchCreativeWork
51,snips-train-10042,find Time Squared,FINE TIME SQUARED,SearchCreativeWork
52,snips-train-10043,find The World Is a Game,FIND THE WORLD IS A GAME,SearchCreativeWork
53,snips-train-10044,Show me a television show named A Love to Hide .,SHOW ME A TELEVISION SHOWN AMDEY LOVE TO HIDE,SearchCreativeWork
54,snips-train-10045,Find The American Journal of Economics and Sociology .,FIND THE AMERICAN JURNGAL OF ECONOMIC SENSE SOCIOLOGY,SearchCreativeWork
55,snips-train-10046,I want to watch the TV series Rat Pack,I WANT TO WATCH YOU TI V SIRI'S RATPACK,SearchCreativeWork
56,snips-train-10047,Find Phalcon .,FINE TRALKIN,SearchCreativeWork
57,snips-train-10048,find Valley of the Dolls,FINE VALLEY OF THE DOLLS,SearchCreativeWork
58,snips-train-10049,Find Later That Evening,FINE LATER THAT EVENING,SearchCreativeWork
59,snips-train-1005,Add Step to Me to the 50 Clásicos playlist.,ADD STEP TO ME TO THE FIFTY CLOSSY COSPLAALIST,AddToPlaylist
60,snips-train-10050,I'm looking for the song called Standing for Something .,I'M LOOKING FOR THE SONG CALLED STANDING FOR SOMETHING,SearchCreativeWork
61,snips-train-10051,show creativity of Comeback Season,SHOW CREATIVITY OF COMBACT SEASON,SearchCreativeWork
62,snips-train-10052,"find Wild Solutions , a saga",FIND WILD SOLUTIONS O SAUNDER,SearchCreativeWork
63,snips-train-10053,Can i see the Boat People ?,KIN I SEE THE BOAT PEOPLE,SearchCreativeWork
64,snips-train-10054,Find The Crucible of Man Something Wicked Part 2 .,FIND THE CRUCIBLE OF MAN SOMETHING WICKED PART TOO,SearchCreativeWork
65,snips-train-10055,Find The Passion of Michel Foucault novel,FIND THE PASSION OF MICHEL FRUCORNAVO,SearchCreativeWork
66,snips-train-10056,How can I view the show Corpus A Home Movie About Selena ?,HOW CAN I VIEW THE SHOW CORPUS O HOME MOVY ABOUT SELENA,SearchCreativeWork
67,snips-train-10057,Where can I find the album The Adventures of Lolo II,WORK AN I FIND THE ALBUM THE ADVENTURES OF LO O TWO,SearchCreativeWork
68,snips-train-10058,I want to see Everytime We Touch which is a painting,I WANT TO SEE EVERY TIME WE TOUCH WHICH IS A PAINTING,SearchCreativeWork
69,snips-train-10059,play the TV show Iron Seed,PLAY THE TI V SHRY ON SEED,SearchCreativeWork
70,snips-train-1006,add one and only to my once upon a time playlist,ADD ONE AND ONLY TO MY ONCE UPON A TIME PLAYALIST,AddToPlaylist
71,snips-train-10060,play Another Time,FOY A MILDER TIME,SearchCreativeWork
72,snips-train-10061,Find the Exile and the Kingdom,FIND THE EXILE ON THE KINGDOM,SearchCreativeWork
73,snips-train-10062,Where can I find a photograph of The Lieutenant of Inishmore ?,WORK AND I FIND A PHOTOGRAPH OF THE LIEUTENANT OF ENGISHMOR,SearchCreativeWork
74,snips-train-10063,Find a trailer called Just Say Noël .,FIND A TRAILER CALLED JUST SAY NO ELL,SearchCreativeWork
75,snips-train-10064,Hook me up with a song by Dancing Girl .,HOOK ME UP WITH E SONG BY DANCING GIRL,SearchCreativeWork
76,snips-train-10065,find the Carrousel saga,FIND THE KIRO SOSONGA,SearchCreativeWork
77,snips-train-10066,Do an image search for the picture Perfect Storm Disasters That Changed The World,DOIN IMAGE SEARCH FOR THE PICTURE PERFECT STORM DISASTERS THAT CHANGE THE WORLD,SearchCreativeWork
78,snips-train-10067,Search for the video game The Book of Heroic Failures,SEARCHE FOR THE VIRIO GAME THE BOOK OF HEROIC FAILURES,SearchCreativeWork
79,snips-train-10068,Where can I see the trailer of Take Me to the King,WHERE CAN I SEE THE TRAILER OF TAKE ME TO THE KING,SearchCreativeWork
80,snips-train-10069,Find a saga called Story of My Life .,FIND A SONG RECALLED STORY OF MY LIFE,SearchCreativeWork
81,snips-train-1007,Add this track to epic wall of sound,ID JUS TRYING TO UPRICK WALL OF SOUND,AddToPlaylist
82,snips-train-10070,find a soundtrack for Dante’s Peak,FIND A SOUND TRACK FOR DANTE SPEAK,SearchCreativeWork
83,snips-train-10071,find a TV show called Randy Scouse Git,FIND A TE V SHO CALDRANDY SCAUSGID,SearchCreativeWork
84,snips-train-10072,Find A World Apart .,FANDER THINE APPARENT,SearchCreativeWork
85,snips-train-10073,Find a novel called Twins of Evil .,FIND A NOVEL CALLED TWINS OF EVIL,SearchCreativeWork
86,snips-train-10074,How can I see the TV series Mothstorm ?,HOW CAME I SEE THE T V CERIES MOTHS TORM,SearchCreativeWork
87,snips-train-10075,Where can I see the show Kind of Glue ?,WERE AN I SEE THE SHOW KIND OF GLUE,SearchCreativeWork
88,snips-train-10076,Is it possible to find the book Live in Europe online?,IS IT POSSIBLE TO FIND FE BULL LIVE IN EUROPE AR LINE,SearchCreativeWork
89,snips-train-10077,Can you find the novel Stoneage Romeos,CAN YOU FIND THE NOVELSTONE A ROMIOS,SearchCreativeWork
90,snips-train-10078,Play the Knockabout soundtrack,PLAY THE KNOCK ABOUT SOUND TRACK,SearchCreativeWork
91,snips-train-10079,show me a picture of Nokia Football Crazy,SHOW ME A PICTURE OF NOTIVE FOOTBALL CRAZY,SearchCreativeWork
92,snips-train-1008,Add Sam Moran music to my tgif playlist,ADD SAM MERAN MUSIC TO MY TEGII OF POIOIST,AddToPlaylist
93,snips-train-10080,Where can I download the game Miss Robin Hood,WHERE CAN I DOWN LOAD THE GAME MISS ROBIN HOOD,SearchCreativeWork
94,snips-train-10081,find the trailer Platinum In Da Ghetto,FIND THE TRAIL OR PLATINUM INDIGHETTO,SearchCreativeWork
95,snips-train-10082,I want the movie Perseo Miranda and his Theatre,I WANT THE MOOVI PERSAO MIRANDA AND HIS THEATRE,SearchCreativeWork
96,snips-train-10083,I need the book titled Lullaby of Broadway,I MEAN THE BO TITLE LALEBA OF BRADWORTH,SearchCreativeWork
97,snips-train-10084,"Where can I see the television show , Jimmy Two-Shoes ?",WORK AND I SEE THE TELAVISION SHOW JIMMI TWO SHOES,SearchCreativeWork
98,snips-train-10085,Find a photograph called Cold Weather .,FIND A PHOTOGRAPH CALLED COLD WEATHER,SearchCreativeWork
99,snips-train-10086,"find Long Walk to Forever , a novel",FIND LONG WALKE FOREVER ON IVEL,SearchCreativeWork
100,snips-train-10087,Find Head Start,FINE HEAD START,SearchCreativeWork
101,snips-train-10088,Show me the novel All I Need to Know,SHOW ME THE NOVEL ALL I NEED TO KNOW,SearchCreativeWork
102,snips-train-10089,Can I see the the TV series The Late Music ?,CAN I SEE YO THE VAT V CERIES OF THE LATE MUSIC,SearchCreativeWork
103,snips-train-1009,add this album by Bruce Dickinson onto top entrevistas my playlist,ADD THIS ALBUM BI BUSTEDKINSON ON TO TOP HENTRE VUSTISMI PLAYLIST,AddToPlaylist
104,snips-train-10090,I'd like to see Jack,I'D LIKE TO SEE JACK,SearchCreativeWork
