,train_index,train_sentence,matthew_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADD DON AND SHURY TO MY MEDITATE TO SOUNDS OF NATURE PLAYLIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT YOUNITED ABOMINATIONS ON TO MY RARE GROOVE PLAYWIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK A MILE LIK TRONICARN DANCE POYLIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST NAMED KIRK HAMMIT TO MY PLAOLUS LOSS FORTY RADIO EXITOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I'M WANTE RAT MARK BOTON TO MY POWER NAW CLOST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FUND THE NEW LEGEND OF SHAULAND VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FONDENALBUM CALLED STUMBLE DOT STOP DOT REPETE,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FINE OLD JETSIRGAN A FALL TO DAY SAGE,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FOND OF NOVEL MERRIGAN SHIRAN,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SALM,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,TWAY THE TEVISH OR WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIN TE SHOULDER NAKED GUM,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BEAN CARBONCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERS THE CREATIVE WORK SEVEN PILLARS OF WISTOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCHED FOR INFORMED AT SWINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAYLEST WILD COUNTRY OUT A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TOLIVISIAN SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BOMP TE SHIRL,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF KOKI AND CRAME,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE TV CERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRUTCHEN CARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FONDER PHOTOGRAPH CALLED THE DICACHONIUM,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SCURDULE OF SHOOT FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME THE FIVE TE THUGGING WORDS TOLETY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVE LITTLE TOAST YU TO THE RESCUE BOOK,SearchCreativeWork
