,train_index,train_sentence,geraint_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ABDON AND SHERRY TO MY MEDITATE THE SOUNDS OF MACTU PLAILIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT YOU MITED ABOMINATIONS ON TO MY REARE GROOVE PLAILIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY ELECTONIC AND DANCE PLAILIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AU THIS ARTIST NAMED CIRCAME TO MY PLAILIST LOSS FORTY RAGIO EXITOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO  ADMARK BOST INTO MY POWER WAL CLEST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND A NEW LAGEND OF SHOWEL AN VIDIOL GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALGRUM CALLED STUMBLE TOP STOP TOTTERPETES,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JATSAGIN AFOR TO DASAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND E NOVOMEGINSE HIRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,CLAY THE TE VE SHIRWIKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHOW THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SAVON PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR INFORMAC SWINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAYLEST WILD CANTRY ADD A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TALORVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BOMPRUCHO,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COKY AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE TE VES HERAS AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRECH AND CARLSON,SearchCreativeWork
