,train_index,train_sentence,raveena_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADDON AND CHERRY TO MY MEDITATE TO SOUNDS OF NATURE PLAYLIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ONTO MY RARE GROOF CLEALIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY ELECTRONICLE AND DANCE PLAYLIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AT THIS ARTIST NAMED CORK HAMMED TO MY PLAYLEST LOSS FORTY RADIO EXETES,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADMARK BOSTON TO MY POWER WARKLEST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SCHAULIN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALBOM CALLED STUMBLE DOT STOP DOTROPETE,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FINED ALL JETS ARE GONE FALL TO BE SAGAR,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MEGANS IRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THAT EVI SHOW WICKERED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHOW THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CAWBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SEVEN PILLIERS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR IN FORMITS WINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAINEST WHILE COUNTRY ADEGRATE DE FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELEVISION SHOWE THE SCIENCE OF BREAD,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BUMP THE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKIE AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE T B CERES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRETCHEN CARLSOM,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED THE DICKENSONIAN,SearchCreativeWork
