,train_index,train_sentence,salli_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADDON AND SHERRY TO MY MEDITATE TO SOUNDS OF NATURE PLAALIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ONTO MY RAREGROOVE PLAYALIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY LECTRONICA AND DANSE PLAYALIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST NAMED KIRK HAME TO MY PLAYLESS LOSS FORTY RADIO EXETOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADD MARK BOSTON TO MY POWER WALCLIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SHALAN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALBUM CALLED STUMBLE DOT STOPDOT REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JETS ARGONE FALL TO DESAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MAC AND SYRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THE TE V SHOW WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THES SHOW THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR INFORMAX SWINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAYLESS TWILD COUNTRY OUT A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELAVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BOM THE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COKIE AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE T V CERES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRETCHEN CARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED THE DICKENSONIAN,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SCHEDULE OF SHOOT FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME THE FIND THE THUG LORD'S TRILOGY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVE LITTLE TOASTER TO THE RESCUE BOOK,SearchCreativeWork
25,snips-train-10019,Find a book called The CIA World Factbook .,FIND A BOOK CALLED THE SA A A WORLD FACT BOOK,SearchCreativeWork
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,ADD STEPHANY BIDDLE TO MY DIXTER REGE PLAYOLIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FIND A SAGA CALLED LOVIX DYSCOGRAPHY,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SEARCH FOR POLICE WOMEN OF SINSINATI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,WHAT IS THE PARONORMAL ACTIVITY GHOST DIMENSION ALABUM,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND THE TRANSFORMERS GENERATIONS VIDIO GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FIND A PAINTING CALLED THE WIPER'S TIMES,SearchCreativeWork
