,train_index,train_sentence,ivy_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADDON AND SHERRY TO MY MEDITATE TO SOUNDS OF NATURE PLAOLIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ON TO MY RAREGROUVE PLAOLIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY LECTRONICA AND DAN'S PLAOLIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,ADD THIS ARTIST NAMED CIRHAMOTU MYPLALUS LOST FORTY RADIO EXIDOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO AD MARK BOSTON TO MY POWER WAL CLIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SHAULAN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND EN ALBUM COL STUMBLE DAT STOP DARTREPET,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FINE ALL JETS ARGNAFALL TO DASAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MEGAN SARON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHALL CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THE TE VE SHOW WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHOW THE NEGED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHEREIS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR IN FORMAX WINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAY IN THIS TWILD COUNTRY ADT A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELIVISION SHOW THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BUMP THE SHOW,SearchCreativeWork
