,train_index,train_sentence,brian_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,AD DONONCHERY TO MY MEDITATE TO SOUNDS OF NATURE PLAILIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITE DEBOMINATIONS ONTO MY RAY GROVE PLAINLIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTE TRACK IN MYECTRONICA AND DANCED PLALIST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AT THIS ARTIST NAMED KIR HARMITTO MY PLAYLIS LOS FORTY RADIO EXIOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WENT TO ROD MARK BESTON TO MY POWER WE CLAST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF SHOWELAND VIGIOR GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND IN ALBUM CLADE STOMB DOT STOP DOT REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FINALLY JACK SHAGON NOTHE TODAY SAGO,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND TE NOVEL MEGUM CHEERWRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,PURE CREATIVE DEVLCE TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLA VET VCHER WICKED SAID HE,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SURE THE NAKED GUM,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,CHURCH FORNFAMA WINSE,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLOILESED WILD COUNTRY ARE THE GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TALIVISION SHOW THE SINCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND THE GAME CLAY BUMP THE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKIE AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE T V SERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRETCHAND CARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH KAY BEDIKEN SHOMEUM,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOW SONG SHEGULE OF SHOT FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME THE FINE THE TAGLORD TRILLEGY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVELICKING TOASED TO THE RESCUE BOOK,SearchCreativeWork
25,snips-train-10019,Find a book called The CIA World Factbook .,FIND E BOT PAY THE SHEAE WAND FACT TAT,SearchCreativeWork
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,AT STEPHANY BIDDLE TO MY GITS TO REGE PLAYLIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FIND TE SAGO QAN LAVIXTYSCHOGRAPHY,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SEARCH FOR POLICE WERMEN OF SENSEMATI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,YET IS THE POWER MAM ELACTRIVITY GO TIMENTION ALBUM,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND VERTRANSFORMERS GENERATIONS VIRTI O GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FINDHE PAINTING QUAT THE WIPERS CARMS,SearchCreativeWork
32,snips-train-10025,Find The Black Girl in Search of God trailer,FINDS THE BLACK GIRL IN CHURCH OF GOT TRAILOR,SearchCreativeWork
33,snips-train-10026,When was the album Start a Fire released?,ONE WIS THE ALBUN START OF FIRE RELEASED,SearchCreativeWork
34,snips-train-10027,How do I watch the television show Counting the Rosaries ?,HOW DO I WATCH THE TELIVISION SHOW COUNTING THE ROSARIES,SearchCreativeWork
35,snips-train-10028,Please help me search the TV series A Mouse Divided .,PLEASE HELP ME SEARCH THE T V SAR IS A MOUSE DIVIDED,SearchCreativeWork
36,snips-train-10029,show creativity of Sing to the Dawn,URE CREATIVITY OF SINT OF THE DOOM,SearchCreativeWork
37,snips-train-1003,I want you to put this track onto the playlist called throwback party .,I WANT YOU TO PUT THIS TRAK ON TO THE PLAYLESS PUAT THROWBACK PARTY,AddToPlaylist
38,snips-train-10030,Find a video game called Merry Andrew .,FIND THE VIDIAL GAME CLEANED MERRY ANDREW,SearchCreativeWork
39,snips-train-10031,Is Salò the TV show available to watch anywhere?,IS SOME OL THE T VEE SHOW AVAILABLE TO WATER ME WEAR,SearchCreativeWork
40,snips-train-10032,TV series for The Thirty Nine Steps ?,T V SRS FOR THE THIRTEY NINE STEPS,SearchCreativeWork
