,train_index,train_sentence,nicole_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,ADD DON AND CHERRY TO MY MEDITATE TO SOUNDS OF NATURE PLAYLEAST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ON TO MY RARE GRIEVE PLAILIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACKING MILATE TRONICA AND DANCE PLAINLEST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AD THIS ARTISTS NAMED KIRK HAMET TO MY PLAYLIST LOST FORTY RADIO EX CITOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO EDMARK BOSTON TO MY POWER WALK LIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND E NEW LEGEND OF SHAL AND BIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALBUM COLD STUMBLE DOT STOP DOT REPEAT,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FIND ALL JET SAGUN A FAULT TO DAY SAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MAGEN SIRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THE TE VE SHO WICKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHI THE NAKED GON,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WORK SEVEN PILLERS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR INFORMINXS WINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAYLES TWELVE COUNTRY AT A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THE TELOVISION SHOWED THE SCIENCE OF BREATH,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BUMPASHIRE,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SUCH FOR THE ADVENTURES OF COOKIE AND CRAME,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE TAVIASERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRECHEN CALSAN,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED THE GECONCERNIAN,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHAS ON SHEDUL OF SHEET FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP MAY TO FIND THE THUG LORD'S TRILOGY BOOK,SearchCreativeWork
24,snips-train-10018,Where can I find The Brave Little Toaster To The Rescue book ?,WHERE CAN I FIND THE BRAVE LITTLE TOASTED TO THE RESCUE BOOK,SearchCreativeWork
25,snips-train-10019,Find a book called The CIA World Factbook .,FIND A BOOK CALLED THE SE EI A WORLD FACT BOOK,SearchCreativeWork
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,ADD STIFFEN THE BEADLE TO MYDIGS TO REGET PLAILIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FIND A SAGA COLD LAVIKS DYSCOGRAPHY,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SUCH FEPLECE WOMEN OF SAINT SONETTI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,WHAT IS  THE PARONOMAL ACTIVITY GRACE DIMENSION ALBAM,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND THE TRANSFORMERS GENERATIONS OF IDIO GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FIND A PAINTING COD THE WIPES THIMES,SearchCreativeWork
32,snips-train-10025,Find The Black Girl in Search of God trailer,FIND THE BLACK GIRL IN SEARCH OF GOD TRELA,SearchCreativeWork
33,snips-train-10026,When was the album Start a Fire released?,WHEN WAS THE ALBUM STOT OF FIRE RELACED,SearchCreativeWork
34,snips-train-10027,How do I watch the television show Counting the Rosaries ?,HOW DO I WATCH THE TELEVISION SHOW COUNTING THE ROSARIES,SearchCreativeWork
35,snips-train-10028,Please help me search the TV series A Mouse Divided .,PLEASE HELP ME SEARCH THE T V CRIES AMOUSE DIVIDED,SearchCreativeWork
36,snips-train-10029,show creativity of Sing to the Dawn,SHOW CREATIVITY OF SEING TO THE DAWN,SearchCreativeWork
37,snips-train-1003,I want you to put this track onto the playlist called throwback party .,I WANT YOU TO PUT THIS TRACK ON TO THE PLAYLESS CORD THROWBACK PARTY,AddToPlaylist
38,snips-train-10030,Find a video game called Merry Andrew .,FIND A VIDIA GAME CALLED MERY ANDREW,SearchCreativeWork
39,snips-train-10031,Is Salò the TV show available to watch anywhere?,IS SALO THETAVE SHOW AVAILABLE TO WATCH ANYWHERE,SearchCreativeWork
40,snips-train-10032,TV series for The Thirty Nine Steps ?,TEVE ASIRUS FOR THE THIRTY NINE STEPS,SearchCreativeWork
41,snips-train-10033,Play The Great Adventures of Slick Rick game,PLAY THE GREAT ADVENTURES OF SLEEK REEK GAME,SearchCreativeWork
42,snips-train-10034,play the movie White Christmas,PLAY THE MOVY WHITE CHRISTMAS,SearchCreativeWork
43,snips-train-10035,"find Blood Moon Year of the Wolf , a movie",FIND BLOOD MANEAR OF THE WOLF AMIVY,SearchCreativeWork
44,snips-train-10036,Can you find My Island Home TV series ?,CAN YOU FIND MY ISLAND HOME T VY CYRES,SearchCreativeWork
45,snips-train-10037,find the song titled The Mole Show Live at the Roxy,FIND THE SONG TITLE THE MORE SHOWLIVE AT THE ROCKSY,SearchCreativeWork
46,snips-train-10038,Show me the Sex Therapy painting,SHOW ME THE SEX THERE BE PAINTING,SearchCreativeWork
47,snips-train-10039,"I'd like to watch episodes from the TV series , The Secret of Queen Anne or Musketeers Thirty Years After .",I'D LIKE TO WATCH EPISODES FROM THE TEVAS SERIES THE SECRET OF QUEEN ANN OR MUSKETEERS THIRTY YEARS AFTER,SearchCreativeWork
48,snips-train-1004,add Puzzles Like You in my playlist Reggae,AND PUZZLES LIKE YOU IN MY PLAYLESS DRIGET,AddToPlaylist
49,snips-train-10040,How do I find the soundtrack African Development Perspectives Yearbook ?,HOW DO I FIND THE SOUND TRACK AFRICAN DEVELOPMENT PRESPECTIVES YE BOOK,SearchCreativeWork
50,snips-train-10041,show me the picture Unfinished Monkey Business,SHOW ME THE PEACHE UNFINISHED MONKEY BUSINESS,SearchCreativeWork
51,snips-train-10042,find Time Squared,FINE TIME SQUARED,SearchCreativeWork
52,snips-train-10043,find The World Is a Game,FIND THE WOE IS A GAME,SearchCreativeWork
53,snips-train-10044,Show me a television show named A Love to Hide .,SHAMI O TELIBISIAN SHINAME DAY LOVE TO HIDE,SearchCreativeWork
54,snips-train-10045,Find The American Journal of Economics and Sociology .,FIND THE AMERICAN GENERAL OF ECONOMICS AND SOCIOLOGY,SearchCreativeWork
55,snips-train-10046,I want to watch the TV series Rat Pack,I WANT TO WATCH THE TAVES CERY'S RAT PACK,SearchCreativeWork
56,snips-train-10047,Find Phalcon .,FINE FALKIN,SearchCreativeWork
57,snips-train-10048,find Valley of the Dolls,FINE VALLEY OF THE DOLLS,SearchCreativeWork
58,snips-train-10049,Find Later That Evening,FINELATOR THA EVENING,SearchCreativeWork
59,snips-train-1005,Add Step to Me to the 50 Clásicos playlist.,ADD STEPPED TO ME TO THE FIFTY CLASIKOV'S PLAILIST,AddToPlaylist
60,snips-train-10050,I'm looking for the song called Standing for Something .,I AM LOOKING FOR THE SONCORD STANDING FOR SOMETHING,SearchCreativeWork
61,snips-train-10051,show creativity of Comeback Season,SHOW CREATIVITY OF COME BACK SEASON,SearchCreativeWork
