,train_index,train_sentence,aditi_sentence,train_label
0,snips-train-0,Add Don and Sherri to my Meditate to Sounds of Nature playlist,AD DONAN SHERRY TO MY MEDIDAT TO SOUNDS OF NATURE PLAILIST,AddToPlaylist
1,snips-train-1,put United Abominations onto my rare groove playlist,PUT UNITED ABOMINATIONS ON TO MY RARE GROOF PLAILIST,AddToPlaylist
2,snips-train-10,Put another track in my electronica & dance playlist.,PUT ANOTHER TRACK IN MY ELECTRONEGA AND DANCE PLAINLEST,AddToPlaylist
3,snips-train-100,add this artist named Kirk Hammett to my playlist Los 40 Radio Éxitos,AD THIS ARTEST NAMED GARK HARMET TO MY PLAILEST LOSS FORTY REDIO EXITOS,AddToPlaylist
4,snips-train-1000,I want to add Mark Boston to my Power Walk list,I WANT TO ADD MARK BOSTON TO MY POWERWALK LIST,AddToPlaylist
5,snips-train-10000,Find The New Legend of Shaolin video game,FIND THE NEW LEGEND OF CHAULIN VIDIO GAME,SearchCreativeWork
6,snips-train-10001,find an album called Stumble.Stop.Repeat,FIND AN ALBUM CALLED STUMBLE DOT STOB DOTROPETE,SearchCreativeWork
7,snips-train-10002,Find All Jets Are Gonna Fall Today saga,FINE AL JETS ARGUNA FOL TO DI SAGA,SearchCreativeWork
8,snips-train-10003,find the novel Meg and Seron,FIND THE NOVEL MAGANCIRON,SearchCreativeWork
9,snips-train-10004,show creative Devils to Some,SHOW CREATIVE DEVILS TO SOME,SearchCreativeWork
10,snips-train-10005,play the TV show Wicked City,PLAY THE TEVY SHOWRAGKED CITY,SearchCreativeWork
11,snips-train-10006,find the show The Naked Gun,FIND THE SHORE THE NAKED GUN,SearchCreativeWork
12,snips-train-10007,search for The Adventure of the Blue Carbuncle,SEARCH FOR THE ADVENTURE OF THE BLUE CARBUNCLE,SearchCreativeWork
13,snips-train-10008,Where is the creative work Seven Pillars of Wisdom ?,WHERE IS THE CREATIVE WHO WALK SEVEN PILLARS OF WISDOM,SearchCreativeWork
14,snips-train-10009,Search for Informix Wingz,SEARCH FOR INFORMIX RINGS,SearchCreativeWork
15,snips-train-1001,For my playlist Wild Country add a great day for freedom,FOR MY PLAIEST WILD COUNTRY AT A GREAT DAY FOR FREEDOM,AddToPlaylist
16,snips-train-10010,Show me the television show The Science of Breath,SHOW ME THAT TALIVISION SHOW THE SCIENCE OF BREAD,SearchCreativeWork
17,snips-train-10011,find a game called Bump the Show,FIND A GAME CALLED BUMP THE SHOW,SearchCreativeWork
18,snips-train-10012,Search for The Adventures of Cookie & Cream,SEARCH FOR THE ADVENTURES OF COOKI AND CREAM,SearchCreativeWork
19,snips-train-10013,"Can you please look up the TV series , An Experiment with Time ?",CAN YOU PLEASE LOOK UP THE TEVI SERIES AN EXPERIMENT WITH TIME,SearchCreativeWork
20,snips-train-10014,find The Real Story with Gretchen Carlson,FIND THE REAL STORY WITH GRETHEN CARLSON,SearchCreativeWork
21,snips-train-10015,Find a photograph called The Dickinsonian .,FIND A PHOTOGRAPH CALLED THE DECINSONIAN,SearchCreativeWork
22,snips-train-10016,show song schedule of Shoot for the Moon,SHOWS ONG SHAGEL OF SHOOT FOR THE MOON,SearchCreativeWork
23,snips-train-10017,help me the find the Thug Lordz Trilogy book,HELP ME THE FIND THE TUGLORD STRIGI BOOK,SearchCreativeWork
